# Synthetic Educational Test Data - For Testing & Simulation Only
timestamp,instrument_id,timeframe,open,high,low,close,volume,is_closed
2026-08-28T09:15:00Z,NIFTY_23000_PE,15m,180.0,188.0,162.0,165.0,4100.0,true
2026-08-28T09:30:00Z,NIFTY_23000_PE,15m,165.0,170.0,150.0,152.0,5200.0,true
2026-08-28T09:45:00Z,NIFTY_23000_PE,15m,152.0,164.0,148.0,160.0,3800.0,true
2026-08-28T10:00:00Z,NIFTY_23000_PE,15m,160.0,162.0,138.0,140.0,6100.0,true
2026-08-28T10:15:00Z,NIFTY_23000_PE,15m,140.0,145.0,128.0,130.0,5900.0,true
2026-08-28T10:30:00Z,NIFTY_23000_PE,15m,130.0,148.0,126.0,144.0,4400.0,true
2026-08-28T10:45:00Z,NIFTY_23000_PE,15m,144.0,155.0,140.0,150.0,3900.0,true
2026-08-28T11:00:00Z,NIFTY_23000_PE,15m,150.0,172.0,146.0,168.0,7800.0,true
2026-08-28T11:15:00Z,NIFTY_23000_PE,15m,168.0,170.0,152.0,156.0,4900.0,true
2026-08-28T11:30:00Z,NIFTY_23000_PE,15m,156.0,160.0,144.0,148.0,4200.0,true
